2025-12-26T08:45:21.841Z [error]: Invalid credentials {"stack":"Error: Invalid credentials\n    at Object.loginWithPassword (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/services/auth.service.js:62:17)\n    at process.processTicksAndRejections (node:internal/process/task_queues:103:5)\n    at async loginWithPassword (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/controllers/auth.controller.js:55:20)"}
2025-12-26T10:45:00.121Z [error]: You must be a member of this group to view posts {"stack":"Error: You must be a member of this group to view posts\n    at Object.getGroupPosts (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/services/communityPost.service.js:137:11)\n    at process.processTicksAndRejections (node:internal/process/task_queues:103:5)\n    at async getGroupPosts (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/controllers/communityPost.controller.js:45:20)"}
2025-12-26T10:47:07.424Z [error]: You must be a member of this group to view posts {"stack":"Error: You must be a member of this group to view posts\n    at Object.getGroupPosts (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/services/communityPost.service.js:137:11)\n    at process.processTicksAndRejections (node:internal/process/task_queues:103:5)\n    at async getGroupPosts (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/controllers/communityPost.controller.js:45:20)"}
2025-12-26T10:47:21.029Z [error]: You must be a member of this group to view posts {"stack":"Error: You must be a member of this group to view posts\n    at Object.getGroupPosts (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/services/communityPost.service.js:137:11)\n    at process.processTicksAndRejections (node:internal/process/task_queues:103:5)\n    at async getGroupPosts (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/controllers/communityPost.controller.js:45:20)"}
2025-12-26T10:48:35.459Z [error]: You must be a member of this group to view posts {"stack":"Error: You must be a member of this group to view posts\n    at Object.getGroupPosts (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/services/communityPost.service.js:137:11)\n    at process.processTicksAndRejections (node:internal/process/task_queues:103:5)\n    at async getGroupPosts (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/controllers/communityPost.controller.js:45:20)"}
2025-12-26T10:53:06.917Z [error]: You must be a member of this group to view posts {"stack":"Error: You must be a member of this group to view posts\n    at Object.getGroupPosts (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/services/communityPost.service.js:137:11)\n    at process.processTicksAndRejections (node:internal/process/task_queues:103:5)\n    at async getGroupPosts (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/controllers/communityPost.controller.js:45:20)"}
2025-12-26T10:53:31.583Z [error]: You must be a member of this group to view posts {"stack":"Error: You must be a member of this group to view posts\n    at Object.getGroupPosts (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/services/communityPost.service.js:137:11)\n    at process.processTicksAndRejections (node:internal/process/task_queues:103:5)\n    at async getGroupPosts (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/controllers/communityPost.controller.js:45:20)"}
2025-12-26T10:55:23.187Z [error]: You must be a member of this group to view posts {"stack":"Error: You must be a member of this group to view posts\n    at Object.getGroupPosts (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/services/communityPost.service.js:137:11)\n    at process.processTicksAndRejections (node:internal/process/task_queues:103:5)\n    at async getGroupPosts (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/controllers/communityPost.controller.js:45:20)"}
2025-12-26T10:59:30.701Z [error]: You must be a member of this group to view posts {"stack":"Error: You must be a member of this group to view posts\n    at Object.getGroupPosts (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/services/communityPost.service.js:137:11)\n    at process.processTicksAndRejections (node:internal/process/task_queues:103:5)\n    at async getGroupPosts (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/controllers/communityPost.controller.js:45:20)"}
2025-12-26T10:59:34.747Z [error]: You must be a member of this group to view posts {"stack":"Error: You must be a member of this group to view posts\n    at Object.getGroupPosts (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/services/communityPost.service.js:137:11)\n    at process.processTicksAndRejections (node:internal/process/task_queues:103:5)\n    at async getGroupPosts (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/controllers/communityPost.controller.js:45:20)"}
2025-12-26T11:00:03.944Z [error]: You must be a member of this group to view posts {"stack":"Error: You must be a member of this group to view posts\n    at Object.getGroupPosts (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/services/communityPost.service.js:137:11)\n    at process.processTicksAndRejections (node:internal/process/task_queues:103:5)\n    at async getGroupPosts (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/controllers/communityPost.controller.js:45:20)"}
2025-12-26T11:00:09.879Z [error]: You must be a member of this group to view posts {"stack":"Error: You must be a member of this group to view posts\n    at Object.getGroupPosts (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/services/communityPost.service.js:137:11)\n    at process.processTicksAndRejections (node:internal/process/task_queues:103:5)\n    at async getGroupPosts (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/controllers/communityPost.controller.js:45:20)"}
2025-12-26T11:00:27.242Z [error]: You must be a member of this group to view posts {"stack":"Error: You must be a member of this group to view posts\n    at Object.getGroupPosts (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/services/communityPost.service.js:137:11)\n    at process.processTicksAndRejections (node:internal/process/task_queues:103:5)\n    at async getGroupPosts (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/controllers/communityPost.controller.js:45:20)"}
2025-12-26T11:00:30.120Z [error]: You must be a member of this group to view posts {"stack":"Error: You must be a member of this group to view posts\n    at Object.getGroupPosts (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/services/communityPost.service.js:137:11)\n    at process.processTicksAndRejections (node:internal/process/task_queues:103:5)\n    at async getGroupPosts (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/controllers/communityPost.controller.js:45:20)"}
2025-12-26T11:03:14.409Z [error]: You must be a member of this group to view posts {"stack":"Error: You must be a member of this group to view posts\n    at Object.getGroupPosts (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/services/communityPost.service.js:137:11)\n    at process.processTicksAndRejections (node:internal/process/task_queues:103:5)\n    at async getGroupPosts (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/controllers/communityPost.controller.js:45:20)"}
2025-12-26T11:04:48.059Z [error]: You must be a member of this group to view posts {"stack":"Error: You must be a member of this group to view posts\n    at Object.getGroupPosts (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/services/communityPost.service.js:137:11)\n    at process.processTicksAndRejections (node:internal/process/task_queues:103:5)\n    at async getGroupPosts (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/controllers/communityPost.controller.js:45:20)"}
2025-12-26T11:05:01.287Z [error]: You must be a member of this group to view posts {"stack":"Error: You must be a member of this group to view posts\n    at Object.getGroupPosts (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/services/communityPost.service.js:137:11)\n    at process.processTicksAndRejections (node:internal/process/task_queues:103:5)\n    at async getGroupPosts (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/controllers/communityPost.controller.js:45:20)"}
2025-12-26T11:05:31.295Z [error]: You must be a member of this group to view posts {"stack":"Error: You must be a member of this group to view posts\n    at Object.getGroupPosts (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/services/communityPost.service.js:137:11)\n    at process.processTicksAndRejections (node:internal/process/task_queues:103:5)\n    at async getGroupPosts (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/controllers/communityPost.controller.js:45:20)"}
2025-12-26T11:06:17.364Z [error]: You must be a member of this group to view posts {"stack":"Error: You must be a member of this group to view posts\n    at Object.getGroupPosts (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/services/communityPost.service.js:137:11)\n    at process.processTicksAndRejections (node:internal/process/task_queues:103:5)\n    at async getGroupPosts (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/controllers/communityPost.controller.js:45:20)"}
2025-12-26T11:06:28.738Z [error]: You must be a member of this group to view posts {"stack":"Error: You must be a member of this group to view posts\n    at Object.getGroupPosts (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/services/communityPost.service.js:137:11)\n    at process.processTicksAndRejections (node:internal/process/task_queues:103:5)\n    at async getGroupPosts (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/controllers/communityPost.controller.js:45:20)"}
2025-12-26T11:06:28.783Z [error]: You must be a member of this group to view posts {"stack":"Error: You must be a member of this group to view posts\n    at Object.getGroupPosts (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/services/communityPost.service.js:137:11)\n    at process.processTicksAndRejections (node:internal/process/task_queues:103:5)\n    at async getGroupPosts (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/controllers/communityPost.controller.js:45:20)"}
2025-12-26T11:07:08.016Z [error]: You must be a member of this group to view posts {"stack":"Error: You must be a member of this group to view posts\n    at Object.getGroupPosts (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/services/communityPost.service.js:137:11)\n    at process.processTicksAndRejections (node:internal/process/task_queues:103:5)\n    at async getGroupPosts (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/controllers/communityPost.controller.js:45:20)"}
2025-12-26T11:09:41.616Z [error]: Invalid credentials {"stack":"Error: Invalid credentials\n    at Object.loginWithPassword (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/services/auth.service.js:72:17)\n    at async loginWithPassword (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/controllers/auth.controller.js:55:20)"}
2025-12-26T11:11:32.513Z [error]: You must be a member of this group to view posts {"stack":"Error: You must be a member of this group to view posts\n    at Object.getGroupPosts (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/services/communityPost.service.js:137:11)\n    at process.processTicksAndRejections (node:internal/process/task_queues:103:5)\n    at async getGroupPosts (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/controllers/communityPost.controller.js:45:20)"}
2025-12-26T11:11:46.768Z [error]: You must be a member of this group to view posts {"stack":"Error: You must be a member of this group to view posts\n    at Object.getGroupPosts (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/services/communityPost.service.js:137:11)\n    at process.processTicksAndRejections (node:internal/process/task_queues:103:5)\n    at async getGroupPosts (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/controllers/communityPost.controller.js:45:20)"}
2025-12-26T11:12:58.223Z [error]: You must be a member of this group to view posts {"stack":"Error: You must be a member of this group to view posts\n    at Object.getGroupPosts (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/services/communityPost.service.js:137:11)\n    at process.processTicksAndRejections (node:internal/process/task_queues:103:5)\n    at async getGroupPosts (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/controllers/communityPost.controller.js:45:20)"}
